Frame,Sub Frame,head,,,chest,,,leftshoulder,,,rightshoulder,,,leftelbow,,,rightelbow,,,lefthand,,,righthand,,,lefthip,,,righthip,,,leftknee,,,rightknee,,,leftfoot,,,rightfoot,,
,,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ,TX,TY,TZ
Frames,Frames,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,84.542,-538.620,-476.146,136.904,-398.665,-199.779,240.712,-380.849,-143.625,33.096,-416.481,-255.933,270.788,-161.696,-96.674,99.687,-98.403,-312.258,301.805,85.407,-60.882,112.460,95.261,-363.895,74.636,8.674,93.824,-72.315,-13.965,-92.606,207.772,394.709,-8.053,11.942,303.059,-242.464,121.450,749.058,69.990,-182.639,694.761,-193.753
2,0,93.132,-537.319,-473.276,153.980,-397.521,-196.979,255.847,-379.115,-141.392,52.114,-415.927,-252.567,292.420,-162.398,-97.609,103.620,-101.716,-311.920,320.860,83.759,-80.583,126.133,83.662,-365.886,74.640,8.687,93.821,-72.257,-13.966,-92.523,207.797,394.184,-7.655,11.539,310.720,-232.838,125.051,748.747,85.473,-183.305,690.923,-176.971
3,0,107.018,-534.459,-473.257,168.399,-393.384,-197.895,269.671,-373.446,-144.056,67.127,-413.323,-251.734,306.370,-159.962,-110.565,108.284,-105.851,-311.334,340.503,84.742,-110.558,140.638,66.428,-369.268,74.879,8.678,93.634,-72.306,-13.929,-92.064,207.801,393.579,3.112,11.877,310.543,-237.913,132.756,747.510,145.394,-185.172,676.609,-172.506
4,0,115.101,-533.278,-471.847,173.873,-391.855,-196.978,275.541,-371.091,-144.319,72.205,-412.619,-249.637,313.447,-159.735,-113.130,111.693,-108.237,-308.372,349.565,84.513,-117.110,145.126,61.027,-368.858,75.119,8.679,93.320,-72.357,-13.904,-91.507,206.264,393.515,4.998,10.050,312.742,-236.734,135.891,748.582,143.951,-189.459,677.155,-161.384
5,0,113.616,-533.316,-469.598,174.039,-390.658,-196.417,276.361,-368.678,-145.476,71.716,-412.639,-247.358,312.293,-159.110,-120.159,112.972,-112.073,-306.315,347.572,84.473,-126.639,149.285,57.181,-368.781,75.356,8.737,92.842,-72.444,-13.934,-90.833,204.957,392.521,5.239,9.825,311.294,-238.547,135.445,747.946,141.743,-191.490,673.868,-164.072
6,0,113.141,-534.273,-464.178,173.881,-390.707,-194.935,276.451,-368.683,-145.128,71.312,-412.730,-244.743,313.451,-158.812,-120.287,112.825,-114.265,-303.838,347.235,84.184,-125.361,149.664,56.709,-366.878,75.545,8.743,92.724,-72.511,-13.934,-90.635,204.365,391.216,6.703,9.822,309.017,-243.040,135.327,746.023,141.093,-192.165,670.891,-169.567
7,0,112.046,-534.579,-464.241,173.385,-390.397,-195.420,276.149,-368.184,-146.311,70.621,-412.611,-244.529,313.709,-157.390,-122.454,112.639,-114.017,-303.302,348.395,85.068,-127.958,148.816,58.233,-366.848,75.652,8.740,92.364,-72.545,-13.912,-90.165,202.907,391.283,11.654,9.832,309.507,-242.759,135.896,746.447,154.843,-193.026,671.122,-164.529
8,0,111.617,-534.479,-464.008,174.100,-389.926,-195.231,276.424,-367.445,-146.348,71.776,-412.406,-244.114,314.774,-156.371,-123.584,113.577,-114.247,-303.041,347.364,85.058,-127.021,148.659,59.040,-366.661,75.719,8.745,92.341,-72.562,-13.913,-90.115,202.975,390.381,12.962,10.210,306.683,-246.818,136.537,743.651,154.232,-192.940,668.484,-174.517
9,0,112.636,-534.580,-464.153,173.850,-389.413,-195.837,276.430,-366.876,-147.491,71.269,-411.950,-244.183,315.871,-156.193,-123.186,113.418,-114.082,-302.817,349.356,85.081,-123.884,147.922,59.803,-365.933,75.754,8.722,92.120,-72.569,-13.869,-89.839,202.691,390.371,10.665,10.493,307.586,-244.125,136.560,745.913,149.641,-192.873,668.942,-168.635
10,0,113.781,-534.604,-464.240,173.671,-389.395,-195.905,276.078,-366.963,-147.288,71.264,-411.827,-244.523,315.725,-155.966,-122.784,113.577,-113.950,-303.066,349.717,84.932,-122.242,148.099,60.334,-365.896,75.766,8.696,92.159,-72.558,-13.821,-89.861,202.778,390.333,10.352,12.265,307.558,-244.430,136.724,745.877,146.522,-192.429,668.418,-169.055
11,0,113.925,-535.388,-464.151,173.315,-390.239,-195.314,275.617,-368.567,-146.031,71.012,-411.911,-244.596,315.036,-156.730,-121.025,113.462,-114.694,-304.017,349.781,84.631,-120.990,147.908,60.447,-367.185,75.742,8.528,92.412,-72.471,-13.569,-90.050,203.454,390.325,17.401,14.728,307.442,-246.997,137.190,745.523,170.137,-192.366,665.741,-168.462
12,0,113.613,-535.435,-464.233,172.947,-390.215,-194.513,275.256,-368.593,-144.495,70.637,-411.836,-244.532,314.522,-156.735,-115.679,113.101,-114.764,-303.630,350.292,84.598,-112.566,147.542,60.434,-366.084,75.731,8.513,92.482,-72.427,-13.539,-90.102,203.598,390.273,16.772,18.119,307.451,-247.115,137.180,745.639,162.890,-192.275,666.254,-168.623
13,0,114.142,-538.755,-462.219,172.846,-391.704,-192.546,274.698,-370.436,-140.509,70.994,-412.972,-244.583,314.239,-156.993,-111.040,113.012,-118.197,-304.284,350.309,84.487,-108.622,147.422,56.869,-366.369,75.634,8.388,92.931,-72.272,-13.397,-90.495,203.615,390.214,19.556,18.772,307.106,-250.469,137.685,745.183,164.260,-191.824,665.314,-170.897
